Robot: 2,,,,,,,,
Comentarios: ,,,,,,,,
"xmin, xmax, ymin, ymax","(0,47,0,39.01)",,,,,,,
========================,,,,,,,,
Checkpoint,Hora,Sensor,Valor M1,Valor M2,Valor M3,M1/M2,M3/M2,
"CK:1 (6.0,20.5)",16:23:31,CO2 (PPM),449,446,448,0.67%,0.45%,
"CK:1 (6.0,20.5)",16:23:31,TEMPERATURA (°C),30.58,30.67,30.74,0.29%,0.23%,
"CK:1 (6.0,20.5)",16:23:31,HUMEDAD (%),31.13,30.61,30.58,1.70%,0.10%,
"CK:1 (6.0,20.5)",16:23:31,IRRADIANCIA (W/M2),203.02,202.26,201.31,0.38%,0.47%,
"CK:1 (6.0,20.5)",16:23:31,eCO2 (PPM),489,418,413,16.99%,1.20%,
"CK:1 (6.0,20.5)",16:23:31,TVOC (PPB),90,77,71,16.88%,7.79%,
,,,,,,,,
"CK:1 (6.0,20.5)",16:23:41,CO2 (PPM),446,,,,,
"CK:1 (6.0,20.5)",16:23:41,TEMPERATURA (°C),30.67,,,,,
"CK:1 (6.0,20.5)",16:23:41,HUMEDAD (%),30.61,,,,,
"CK:1 (6.0,20.5)",16:23:41,IRRADIANCIA (W/M2),202.26,,,,,
"CK:1 (6.0,20.5)",16:23:41,eCO2 (PPM),418,,,,,
"CK:1 (6.0,20.5)",16:23:41,TVOC (PPB),77,,,,,
"CK:1 (6.0,20.5)",16:23:52,CO2 (PPM),448,,,,,
"CK:1 (6.0,20.5)",16:23:52,TEMPERATURA (°C),30.74,,,,,
"CK:1 (6.0,20.5)",16:23:52,HUMEDAD (%),30.58,,,,,
"CK:1 (6.0,20.5)",16:23:52,IRRADIANCIA (W/M2),201.31,,,,,
"CK:1 (6.0,20.5)",16:23:52,eCO2 (PPM),413,,,,,
"CK:1 (6.0,20.5)",16:23:52,TVOC (PPB),71,,,,,
,,,,,,,,
Checkpoint,Hora,Sensor,Valor M1,Valor M2,Valor M3,M1/M2,M3/M2,
"CK:2 (12.0,14.7)",16:24:25,CO2 (PPM),456,457,455,0.22%,0.44%,
"CK:2 (12.0,14.7)",16:24:25,TEMPERATURA (°C),30.88,30.92,30.99,0.13%,0.23%,
"CK:2 (12.0,14.7)",16:24:25,HUMEDAD (%),29.36,29.52,29.29,0.54%,0.78%,
"CK:2 (12.0,14.7)",16:24:25,IRRADIANCIA (W/M2),235,226.94,226.94,3.55%,0.00%,
"CK:2 (12.0,14.7)",16:24:25,eCO2 (PPM),427,419,402,1.91%,4.06%,
"CK:2 (12.0,14.7)",16:24:25,TVOC (PPB),60,76,71,21.05%,6.58%,
"CK:2 (12.0,14.7)",16:24:35,CO2 (PPM),,,,,,
"CK:2 (12.0,14.7)",16:24:35,TEMPERATURA (°C),,,,,,
"CK:2 (12.0,14.7)",16:24:35,HUMEDAD (%),,,,,,
"CK:2 (12.0,14.7)",16:24:35,IRRADIANCIA (W/M2),,,,,,
"CK:2 (12.0,14.7)",16:24:35,eCO2 (PPM),,,,,,
"CK:2 (12.0,14.7)",16:24:35,TVOC (PPB),,,,,,
"CK:2 (12.0,14.7)",16:24:51,CO2 (PPM),,,,,,
"CK:2 (12.0,14.7)",16:24:51,TEMPERATURA (°C),,,,,,
"CK:2 (12.0,14.7)",16:24:51,HUMEDAD (%),,,,,,
"CK:2 (12.0,14.7)",16:24:51,IRRADIANCIA (W/M2),,,,,,
"CK:2 (12.0,14.7)",16:24:51,eCO2 (PPM),,,,,,
"CK:2 (12.0,14.7)",16:24:51,TVOC (PPB),,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Checkpoint,Hora,Sensor,Valor M1,Valor M2,Valor M3,M1/M2,M3/M2,
"CK:3 (7.98,10.82)",16:25:27,CO2 (PPM),456,456,455,0.00%,0.22%,
"CK:3 (7.98,10.82)",16:25:27,TEMPERATURA (°C),31.16,31.22,31.29,0.19%,0.22%,
"CK:3 (7.98,10.82)",16:25:27,HUMEDAD (%),29.45,29.23,29.21,0.75%,0.07%,
"CK:3 (7.98,10.82)",16:25:27,IRRADIANCIA (W/M2),209.47,209.28,209.09,0.09%,0.09%,
"CK:3 (7.98,10.82)",16:25:27,eCO2 (PPM),451,428,445,5.37%,3.97%,
"CK:3 (7.98,10.82)",16:25:27,TVOC (PPB),99,112,121,11.61%,8.04%,
"CK:3 (7.98,10.82)",16:25:38,CO2 (PPM),456,,,,,
"CK:3 (7.98,10.82)",16:25:38,TEMPERATURA (°C),31.22,,,,,
"CK:3 (7.98,10.82)",16:25:38,HUMEDAD (%),29.23,,,,,
"CK:3 (7.98,10.82)",16:25:38,IRRADIANCIA (W/M2),209.28,,,,,
"CK:3 (7.98,10.82)",16:25:38,eCO2 (PPM),428,,,,,
"CK:3 (7.98,10.82)",16:25:38,TVOC (PPB),112,,,,,
"CK:3 (7.98,10.82)",16:25:48,CO2 (PPM),455,,,,,
"CK:3 (7.98,10.82)",16:25:48,TEMPERATURA (°C),31.29,,,,,
"CK:3 (7.98,10.82)",16:25:48,HUMEDAD (%),29.21,,,,,
"CK:3 (7.98,10.82)",16:25:48,IRRADIANCIA (W/M2),209.09,,,,,
"CK:3 (7.98,10.82)",16:25:48,eCO2 (PPM),445,,,,,
"CK:3 (7.98,10.82)",16:25:48,TVOC (PPB),121,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Sensor,Valor CK1,Valor CK2,Valor CK3,M1/M2,M1/M3,M2/M3
,,CO2 (PPM),447.67,456,455.66,1.83%,1.76%,0.07%
,,TEMPERATURA (°C),30.66,30.93,31.22,0.86%,1.79%,0.94%
,,HUMEDAD (%),30.77,29.39,29.29,4.71%,5.04%,0.32%
,,IRRADIANCIA (W/M2),202.2,229.63,209.28,11.95%,3.39%,9.72%
,,eCO2 (PPM),440,416,441.3333333,5.77%,0.30%,5.74%
,,TVOC (PPB),79.33,69,110.6666667,14.98%,28.31%,37.65%
